JobTitle,CompanyName,Location,Summary,Salary,PostedOn
"
            Business Process Associate",NUKG Business Solutions,Hyderabad,Candidates with exposure to coding / scripting using Python as well as Sql Server may be considered as Business Systems Analysts.. You are a people person?.,Not Disclosed,Not Mentioned
"
            Technical Mentor",Digitage technologies,Hyderabad,"Knowledge of python, full stack is a plus. As technical mentor, the person will be responsible to deliver and demonstrate various technical topics and help the…","₹15,000 - ₹20,000 a month",3 hours ago
"
            Data Scientist",Micro Focus,Hyderabad,"Exceptional coding skills in SQL, and Python or R. At Micro Focus, everything we do is based on a simple idea: Our portfolio spans the following areas:",Not Disclosed,Not Mentioned
"
Python Developer",Neurosensum,"Gurgaon, Haryana","You have Expertise of Python, DJango, Flask Agile Methodologies, Test Driven Development. You will develop, design, debug, and modify components of software…",Not Disclosed,9 days ago
"
Python Developer",Weboconnect Technologies Pvt Ltd,"Malviya Nagar, Delhi, Delhi",Currently we are looking for Python developer having experience between 6 month - 1 year of experience in relevant technology for Malviya Nagar office on…,"₹20,000 - ₹40,000 a month",1 hour ago
"
            Software Developer II - (Python Developer)",S&P GLOBAL MARKET INTELLIGENCE,"Hyderabad, Telangana","TDD experience with Python and Code Analysis using Pylint or SonarQube. Python, Docker containerization and Distributed Data platforms like Solr, ElasticSearch,…",Not Disclosed,4 days ago
"
            Artificial Intelligence",Feednet Solutions Pvt Ltd,"Hyderabad, Telangana",Need to create a python API's if required. Need to create a python API's if required. Need to create chatbot for website and mobile application.,Not Disclosed,2 days ago
"
Python Developer",Rehlat,"Hyderabad, Telangana","Should be excellent in building API's, interacting with databases. Familiar with any of the cloud services: Google Gcloud (app engine), Amazon AWS or Azure.",Not Disclosed,14 days ago
"
Python Develpment Intern",Booksbeka.com,"Bengaluru, Karnataka","Python, REST API, Django, PostgreSQL. Previous project / mini project experience using python. Build reusable code and libraries for future use.",Not Disclosed,30+ days ago
"
Python Developer",Techlift Technologies,"Kharadi, Pune, Maharashtra",Techlift is looking for Software Developers to join our ERPNext team. Work involves customization to the open source ERPNext software.,Not Disclosed,2 days ago
